id,ativo,ordem,nome,categoria,descricao,preco,fotos,cores,personalizavel,prazo_dias,disponivel,destaque,specs
cachepo-curva,SIM,1,Cachepô Curva,Vasos e cachepôs,"Uma diagonal fluida separa duas texturas: de um lado o terracota liso, do outro o ritmo das ranhuras verticais. Duas superfícies, uma peça só, feita pra receber suas plantas.",,fotos/cachepo-curva-01.jpg,Terracota,,,0,SIM,
mini-vaso-canelado,SIM,2,Mini Vaso Canelado,Vasos e cachepôs,"Um cilindro pequeno e canelado: as ranhuras são as camadas da impressão vistas de perto, e a luz da tarde desenha sombras finas que mudam o dia inteiro. Em cima o creme fosco, embaixo o pratinho terracota que segura tudo.",,fotos/mini-vaso-canelado-02.jpg|fotos/mini-vaso-canelado-01.jpg,Creme; Terracota,,,3,,
mini-vaso-losango,SIM,3,Mini Vaso Losango,Vasos e cachepôs,"Textura em losango, diâmetro interno de 6 cm — o tamanho certo pras plantas bebês: cactos, suculentas, o que couber no colo da casa.",,fotos/mini-vaso-losango-01.jpg|fotos/mini-vaso-losango-02.jpg,Terracota,,,0,,
porta-objetos,SIM,4,Porta-Objetos,Mesa e escritório,"Chave, relógio, o anel que sai da mão antes de lavar a louça. São duas bandejas em uma: a de fora funda, a de dentro mais rasa, encaixada de lado. Forma de seixo, sem nenhum canto reto, e o salpicado de pedra vem do próprio material, não de tinta.",,fotos/porta-objetos-01.jpg|fotos/porta-objetos-02.jpg,Pedra,,,1,SIM,
organizador-de-mesa,NÃO,5,Organizador de Mesa,Mesa e escritório,"FORA DA POC (REQ-13): a foto desta peça é do criador do modelo, não uma peça nossa fotografada. Religar quando houver foto própria. Uma base só, três destinos: o compartimento alto e dividido para canetas e tesoura, o central que segura o celular em pé na altura de leitura, e a cuba do canto para chave e cartão. A superfície tem um micro-relevo com tato de couro fosco.",90,fotos/organizador-de-mesa-01.jpg|fotos/organizador-de-mesa-02.jpg|fotos/organizador-de-mesa-03.jpg,Bordô; Preto,,,0,,"PLA bordô + preto · camada 0,20 mm · 200 × 100 × 100 mm"
sandalia-porta-celular,SIM,6,Sandália Porta-Celular,Mesa e escritório,"Escultura e suporte na mesma peça: o salto vira apoio e a tira segura a tela. Impressa de uma vez só — salto, sola, tira e fivela nascem juntos, camada por camada.",,fotos/sandalia-porta-celular-01.jpg|fotos/sandalia-porta-celular-02.jpg,Vermelho fosco,,,0,,
mao-porta-joias,SIM,7,Mão Porta-Joias,Joias e acessórios,"Uma mão aberta, tamanho real, palma pra cima: cada dedo segura um anel na altura do olho. O disco da base é largo de propósito, porque mão cheia de anel pesa e ela não pode balançar. Na base, em relevo, o nome de quem encomendou.",,fotos/mao-porta-joias-01.jpg|fotos/mao-porta-joias-02.jpg,Osso,SIM,,0,,
porta-joias-lua,NÃO,8,Porta-Joias Lua,Joias e acessórios,"FORA DA POC (REQ-13): a foto desta peça é do criador do modelo, não uma peça nossa fotografada. Religar quando houver foto própria. Um disco com a lua desenhada no vazio: de um lado a renda geométrica fechada, do outro o arco aberto. Três barras separam por tipo — furos finos para os brincos pequenos, dentes para as argolas — e uma bandeja encaixa embaixo com seis divisórias para os anéis.",,fotos/porta-joias-lua-01.jpg|fotos/porta-joias-lua-02.jpg,Branco,,,0,,"PLA+ branco · camada 0,20 mm · 240 × 190 mm · ~105 g"
porta-oculos-vertical,SIM,9,Porta-Óculos Vertical,Joias e acessórios,"Um porta-óculos individual de curva única, com presença escultural sobre o criado-mudo. Guardar os óculos no fim do dia também pode ser um gesto de cuidado.",,fotos/porta-oculos-vertical-01.jpg,Osso,,,0,,
porta-pinceis-geo,NÃO,10,Porta-Pincéis Geo,Banheiro e beleza,"FORA DA POC (REQ-13): a foto desta peça é do criador do modelo, não uma peça nossa fotografada. Religar quando houver foto própria. Facetas geométricas que organizam os pincéis em pé, na penteadeira ou na bancada — cada plano pega a luz de um jeito diferente ao longo do dia.",50,fotos/porta-pinceis-geo-01.jpg|fotos/porta-pinceis-geo-02.jpg,,,7,0,,"PLA fosco · camada 0,20 mm · 120 × 112 × 98 mm · ~145 g"
